setting	exposure	outcome	n	beta	lo	hi	p	q
S1_TCGA_Xena	WGD	cytolytic	716	-0.31959307494503525	-0.4528034117079291	-0.1863827381821414	2.9747991006597654e-06	4.462198650989648e-05
S1_TCGA_Xena	WGD	cd8_tcell	716	-0.20620111552206688	-0.33723634014220716	-0.07516589090192657	0.0020828829010528602	0.008926641004512258
S1_TCGA_Xena	WGD	apm	716	-0.15989476455913448	-0.2786731805092853	-0.04111634860898365	0.008400218943761546	0.02471317016340485
S1_TCGA_Xena	WGD	isg	716	-0.026058255948719276	-0.14510911473074398	0.09299260283330542	0.6675191142737437	0.7151990510075825
S1_TCGA_Xena	WGD	cgas_sting	716	-0.08834339970790395	-0.16100610128500353	-0.01568069813080436	0.01724727038752161	0.0383272675278258
S1_TCGA_Xena	WGD	tcell_inflamed	716	-0.25954637225108124	-0.35763835355958623	-0.16145439094257624	2.6786752278089787e-07	8.036025683426937e-06
S1_TCGA_Xena	WGD	treg	716	-0.1647405759432746	-0.26043021379042386	-0.06905093809612532	0.0007642624691994855	0.00416870437745174
S1_TCGA_Xena	WGD	myeloid	716	-0.23692534087978423	-0.35049142127385935	-0.12335926048570914	4.688137481857716e-05	0.000562576497822926
S1_TCGA_Xena	WGD	tgfb_stroma	716	-0.07097520521188744	-0.18099570894950345	0.03904529852572858	0.2057328552672183	0.2807749840998491
S1_TCGA_Xena	WGD	exhaustion	716	-0.22104907454205175	-0.3357160081050619	-0.10638214097904157	0.00016681497140778862	0.0012511122855584146
S1_TCGA_Xena	ploidy	cytolytic	716	-0.15634022793907631	-0.22115641661571422	-0.09152403926243839	2.63648999706309e-06	4.462198650989648e-05
S1_TCGA_Xena	ploidy	cd8_tcell	716	-0.09086458089989599	-0.15470973088145026	-0.02701943091834172	0.0053431474309049215	0.020036802865893457
S1_TCGA_Xena	ploidy	apm	716	-0.09176784172619286	-0.14946037075516794	-0.03407531269721778	0.0018633358165565208	0.008600011461030095
S1_TCGA_Xena	ploidy	isg	716	-0.013884059902154997	-0.07181860714886985	0.044050487344559866	0.6381371246982817	0.6961495905799436
S1_TCGA_Xena	ploidy	cgas_sting	716	-0.052703905875765664	-0.0879939596007787	-0.017413852150752626	0.0034748761316756834	0.013899504526702734
S1_TCGA_Xena	ploidy	tcell_inflamed	716	-0.13223216482089803	-0.179881650411447	-0.08458267923034908	7.00925912594665e-08	4.20555547556799e-06
S1_TCGA_Xena	ploidy	treg	716	-0.08634280369054702	-0.13285034114847963	-0.0398352662326144	0.00028692230944699234	0.001721533856681954
S1_TCGA_Xena	ploidy	myeloid	716	-0.11292895683322057	-0.1682223253442729	-0.05763558832216825	6.71946485078836e-05	0.000671946485078836
S1_TCGA_Xena	ploidy	tgfb_stroma	716	-0.03932296900257702	-0.09284652794984807	0.014200589944694024	0.14962688530650203	0.23019520816384928
S1_TCGA_Xena	ploidy	exhaustion	716	-0.10950607048396441	-0.16528832114851044	-0.053723819819418366	0.00012662467172139662	0.0010853543290405424
