exposure	outcome	beta_S2	beta_S3	z	p_diff	q_diff
PGA	apm	-0.09526642638405132	-0.023332091144623847	-1.4324250352856176	0.15202221796973148	0.7016410060141453
PGA	cd8_tcell	-0.06833227657849322	-0.08423029870158857	0.28055117979029554	0.779054665467801	0.9468600943093358
PGA	cgas_sting	-0.05100693329440442	-0.04145579494115451	-0.29426773910384585	0.7685533223090222	0.9468600943093358
PGA	cytolytic	-0.11326298085957252	-0.05156166846457137	-1.0958691519868649	0.2731360405723844	0.8173993735475632
PGA	exhaustion	-0.07781056007109499	-0.05622192522001579	-0.46224467052614115	0.6439058724607976	0.9468600943093358
PGA	isg	-0.03609556519964001	-0.0856884426971275	1.008245902339337	0.3133364265265659	0.8173993735475632
PGA	myeloid	-0.08398837001079565	-0.02224217117716632	-1.3354949577613433	0.18171440446309228	0.7126095416386787
PGA	tcell_inflamed	-0.09432400422238413	-0.04683435353452485	-1.1343708204943244	0.2566390335846853	0.8104390534253221
PGA	tgfb_stroma	-0.01766392422338408	0.004423103473619482	-0.4700234798228182	0.6383382424829891	0.9468600943093358
PGA	treg	-0.06768710959988032	-0.07086061205857033	0.07414686819598929	0.9408935224421924	0.9729915759449337
WGD	apm	-0.19851620142098467	-0.14394004057554968	-0.4860540606074156	0.6269288370760904	0.9468600943093358
WGD	cd8_tcell	-0.20646862335217536	-0.10934743694234018	-0.7594991316470583	0.44755403331231847	0.9432060544025159
WGD	cgas_sting	-0.09574585747241847	-0.1592362497067091	0.8749246194753979	0.38161492235465144	0.9153544266038318
WGD	cytolytic	-0.3332531789045471	-0.10216175974737879	-1.8264204719611672	0.06778695049651162	0.5969681693579254
WGD	exhaustion	-0.2125626870807943	-0.12134307910282047	-0.8720191757146059	0.38319791656303526	0.9153544266038318
WGD	isg	-0.018496088433029998	-0.26566788036645217	2.247034503318727	0.024637822125106457	0.49275644250212913
WGD	myeloid	-0.2477436521819191	-0.06567353011389576	-1.7530364191915615	0.07959575591439005	0.5969681693579254
WGD	tcell_inflamed	-0.24512064102070885	-0.10595723171355308	-1.4834488762671398	0.13795518981200483	0.6897759490600242
WGD	tgfb_stroma	-0.07877462694721121	-0.09017737035072182	0.10801452478919929	0.9139841705055107	0.9729915759449337
WGD	treg	-0.15591540660513492	-0.16713689031338483	0.11652071472199484	0.9072398699424222	0.9729915759449337
chromo	apm	-0.07923306300487853	-0.1536246491586919	0.6861074947067735	0.4926453251362499	0.9432060544025159
chromo	cd8_tcell	-0.07269359005325188	-0.004199333888047205	-0.5560931802000888	0.5781471569742984	0.9468600943093358
chromo	cgas_sting	-0.03650651887216097	0.05322586996816491	-1.2757777075132042	0.2020341100398828	0.7126095416386787
chromo	cytolytic	-0.15236282697550071	-0.05210230567943762	-0.8205379714554377	0.41190949197172433	0.9153544266038318
chromo	exhaustion	-0.10220384145545984	-0.03725345870347568	-0.6419532726685557	0.5209035231188308	0.9468600943093358
chromo	isg	-0.0745230334396548	-0.04339397452345857	-0.2918608714374042	0.770393001607014	0.9468600943093358
chromo	myeloid	-0.07996087199683588	-0.07290546919482782	-0.07039855482741408	0.943876441477159	0.9729915759449337
chromo	tcell_inflamed	-0.11171584466515982	-0.08084776111821801	-0.3401388069237724	0.733751998464659	0.9468600943093358
chromo	tgfb_stroma	-0.03679751314187692	0.12678519438853508	-1.611838870805949	0.10699700716379068	0.6419820429827441
chromo	treg	-0.022947138276985836	-0.05041215291586716	0.29508647324373055	0.7679278226786173	0.9468600943093358
chromo_any	apm	-0.13520071155964727	-0.11580604150914527	-0.18906830823679213	0.8500392798411642	0.9729915759449337
chromo_any	cd8_tcell	-0.11984220199161548	-0.06519095253505569	-0.4694855786700432	0.6387225906364495	0.9468600943093358
chromo_any	cgas_sting	-0.08025305127165747	0.0028549318383955594	-1.2492037308211652	0.21159056778504892	0.7126095416386787
chromo_any	cytolytic	-0.22489560086574403	-0.105939802303804	-1.0316104620346007	0.30225463735833147	0.8173993735475632
chromo_any	exhaustion	-0.14054071585114858	-0.09815198279527519	-0.4437018314339887	0.6572581711857195	0.9468600943093358
chromo_any	isg	-0.0843209133988726	-0.056688282746983364	-0.2739519765723059	0.7841215273644375	0.9468600943093358
chromo_any	myeloid	-0.1447327907295327	-0.09677977213861107	-0.506729121501027	0.6123448944161229	0.9468600943093358
chromo_any	tcell_inflamed	-0.18214312849976222	-0.12164220101250975	-0.7072282360210147	0.4794246542292173	0.9432060544025159
chromo_any	tgfb_stroma	-0.05610689678107272	0.08709602411304394	-1.4905372749966745	0.1360830230705974	0.6897759490600242
chromo_any	treg	-0.07551999510566268	-0.13431134085663088	0.6697091321725944	0.5030432290146751	0.9432060544025159
n_high	apm	-0.029554714984589982	-0.08070550038274388	1.0398142180595238	0.2984262221770426	0.8173993735475632
n_high	cd8_tcell	-0.033002104423503244	0.012854445026951086	-0.8224323838644854	0.4108308548000208	0.9153544266038318
n_high	cgas_sting	-0.023020208309892452	0.0006883791454142182	-0.74263290753564	0.45770395963486177	0.9432060544025159
n_high	cytolytic	-0.031666841759041574	-0.03466864358752709	0.054200967734386464	0.9567750496791847	0.9729915759449337
n_high	exhaustion	-0.02913552318222701	-0.034468787575932774	0.11617076235770614	0.9075172080925002	0.9729915759449337
n_high	isg	-0.02717670617306231	-0.04011603516998385	0.26754434126023807	0.7890500785911132	0.9468600943093358
n_high	myeloid	-0.007266943081978709	-0.0328971589274512	0.5642492287548899	0.5725845289536435	0.9468600943093358
n_high	tcell_inflamed	-0.029954234150278994	-0.03595054254725421	0.1455529202078518	0.8842743362854628	0.9729915759449337
n_high	tgfb_stroma	-0.0035853942031741845	0.006769630552969495	-0.22472223102009553	0.8221953690504511	0.9672886694711189
n_high	treg	0.006346281801300105	-0.04601673776922505	1.2432306194416185	0.2137828624916036	0.7126095416386787
ploidy	apm	-0.10922748366186429	-0.02203677872263728	-1.7536649036944327	0.07948794264097514	0.5969681693579254
ploidy	cd8_tcell	-0.10872796808316615	-0.03156897590489083	-1.3735506345397699	0.1695812314282712	0.7126095416386787
ploidy	cgas_sting	-0.06664523149519777	-0.0669076739924177	0.008197769852359637	0.9934591992625772	0.9934591992625772
ploidy	cytolytic	-0.17789579578369802	-0.020175500264518444	-2.8373359768252775	0.004549171394859108	0.23028633255480768
ploidy	exhaustion	-0.11781895950807376	-0.03177666806034196	-1.8619844434435622	0.06260528304118518	0.5969681693579254
ploidy	isg	-0.013424581009543314	-0.09238630094835404	1.620753546581734	0.10507050472372015	0.6419820429827441
ploidy	myeloid	-0.12757525542909104	-0.03640875294576652	-1.9975194244050063	0.04576878650896132	0.5969681693579254
ploidy	tcell_inflamed	-0.1368074047304989	-0.026562198136716078	-2.6659894104864468	0.007676211085160256	0.23028633255480768
ploidy	tgfb_stroma	-0.04770692152679654	-0.032653356239631906	-0.323736909015823	0.7461372250343468	0.9468600943093358
ploidy	treg	-0.09454755320834365	-0.08175681826050857	-0.30252979031957383	0.7622482273330493	0.9468600943093358
