setting	exposure	outcome	n	beta	p	q
TCGA (all histologies)	WGD	cytolytic	717	-0.33220041412115886	4.680977691388989e-07	9.361955382777978e-06
TCGA (all histologies)	WGD	cd8_tcell	717	-0.20742767631611037	0.0015664274417825697	0.0054520869805701425
TCGA (all histologies)	WGD	apm	717	-0.19651886999709767	0.0017264942105138783	0.0054520869805701425
TCGA (all histologies)	WGD	isg	717	-0.018323013758124593	0.7621390434365632	0.8022516246700666
TCGA (all histologies)	WGD	cgas_sting	717	-0.0951872325390827	0.016878300804364185	0.0375073351208093
TCGA (all histologies)	WGD	tcell_inflamed	717	-0.2454041445174022	1.5025882240807793e-06	1.803105868896935e-05
TCGA (all histologies)	WGD	treg	717	-0.15589117815033196	0.0020275738054507915	0.00579306801557369
TCGA (all histologies)	WGD	myeloid	717	-0.246405007622313	5.833217450573313e-06	5.833217450573313e-05
TCGA (all histologies)	WGD	tgfb_stroma	717	-0.08097706429924298	0.1477267205301162	0.2272718777386403
TCGA (all histologies)	WGD	exhaustion	717	-0.21192929935402519	0.00023119135439087835	0.001261043751222973
TCGA (all histologies)	ploidy	cytolytic	717	-0.17741260161215738	2.7884434746895322e-08	8.93765500162039e-07
TCGA (all histologies)	ploidy	cd8_tcell	717	-0.10909750422938053	0.000607680216872469	0.0022788008132717586
TCGA (all histologies)	ploidy	apm	717	-0.10836887597734428	0.0003661280556955247	0.0018016145419064876
TCGA (all histologies)	ploidy	isg	717	-0.013346785875038998	0.6496872428030424	0.705295871452695
TCGA (all histologies)	ploidy	cgas_sting	717	-0.06638503858836496	0.00058142284795744	0.0022788008132717586
TCGA (all histologies)	ploidy	tcell_inflamed	717	-0.13688433216798312	2.9792183338734635e-08	8.93765500162039e-07
TCGA (all histologies)	ploidy	treg	717	-0.09450435689490333	0.0001127561902386243	0.0008456714267896823
TCGA (all histologies)	ploidy	myeloid	717	-0.12699032343365804	1.4619410371259708e-06	1.803105868896935e-05
TCGA (all histologies)	ploidy	tgfb_stroma	717	-0.048602532453159125	0.07336320722204648	0.1294644833330232
TCGA (all histologies)	ploidy	exhaustion	717	-0.11752227104697427	2.5244673597037324e-05	0.0002163829165460342
TCGA (all histologies)	chromo	cytolytic	717	-0.15322681487929551	0.022594179753674414	0.04744720205916352
TCGA (all histologies)	chromo	cd8_tcell	717	-0.07057040185294373	0.2893190884688632	0.37673982178881776
TCGA (all histologies)	chromo	apm	717	-0.08208522884197832	0.19720597031598353	0.2958089554739753
TCGA (all histologies)	chromo	isg	717	-0.07459488816755042	0.2232019058849678	0.3069251597862351
TCGA (all histologies)	chromo	cgas_sting	717	-0.037204835421614735	0.35697260128656005	0.4118914630229539
TCGA (all histologies)	chromo	tcell_inflamed	717	-0.11057040424760017	0.03335627322407462	0.06456052882078958
TCGA (all histologies)	chromo	treg	717	-0.02268632984452949	0.658276146689182	0.705295871452695
TCGA (all histologies)	chromo	myeloid	717	-0.0816250107126015	0.1405024756353034	0.2272718777386403
TCGA (all histologies)	chromo	tgfb_stroma	717	-0.03287080158675696	0.5617585805346488	0.6241762005940542
TCGA (all histologies)	chromo	exhaustion	717	-0.10267787956633265	0.0790535524706551	0.13552037566398015
TCGA (all histologies)	chromo_any	cytolytic	717	-0.22546086217768005	0.0003903498174130723	0.0018016145419064876
TCGA (all histologies)	chromo_any	cd8_tcell	717	-0.11831210517210368	0.060861457496095776	0.11065719544744686
TCGA (all histologies)	chromo_any	apm	717	-0.1371579816134018	0.022932814328595702	0.04744720205916352
TCGA (all histologies)	chromo_any	isg	717	-0.08438697703438465	0.14619545561191452	0.2272718777386403
TCGA (all histologies)	chromo_any	cgas_sting	717	-0.08069674100770828	0.03493439102188901	0.06550198316604189
TCGA (all histologies)	chromo_any	tcell_inflamed	717	-0.18128291415832104	0.00022452430443380998	0.001261043751222973
TCGA (all histologies)	chromo_any	treg	717	-0.07527175932478801	0.12152799280436474	0.20254665467394126
TCGA (all histologies)	chromo_any	myeloid	717	-0.14584289453416638	0.00540324851736358	0.014736132320082493
TCGA (all histologies)	chromo_any	tgfb_stroma	717	-0.05333412176581087	0.3208082288189193	0.38496987458270315
TCGA (all histologies)	chromo_any	exhaustion	717	-0.1408602316514717	0.010986606873821733	0.025353708170357845
TCGA (all histologies)	PGA	cytolytic	717	-0.11301706657314246	0.0004784983290689215	0.002050707124581092
TCGA (all histologies)	PGA	cd8_tcell	717	-0.06851689874553968	0.032867744349464816	0.06456052882078958
TCGA (all histologies)	PGA	apm	717	-0.09481233203039241	0.001974359705501078	0.00579306801557369
